token_id,name,Background,Backdrop Style,Fur,Skin,Outfit,Outfit Color,Expression,Headwear,Eyewear,Lens Color,Accessory,pixel_sha256,rarity_score,rarity_rank
32,Armarfi the Maestro,Slate,Solid,Blue Steel,Silver,Velvet Tuxedo,Rust,Grin,Headband,Monocle,Amber,Silver Medallion,f76856fb0745aa66ef2d619d8616660b44c922935b496963403e8520624400a2,32.340781,1524
33,Nyluxro the Drifter,Midnight,Pixel Rain,Blue Steel,Sand,Denim Jacket,Teal,Gritted Teeth,Beanie,Round Shades,Violet,Studs,5fb947cff28fc2484d64fa779d697d5b8d9bc25f99e062f943d67a85b76243e2,32.131821,4904
34,Lulinze the Captain,Cobalt,Pixel Rain,Espresso,Sand,Varsity Jacket,Forest,Grin,Headphones,Cyber Visor,Violet,Ear Ring,94deed664ebf3472f2843c9024675502ea817ab7345b75c686224c397631229e,32.121012,5047
35,Orvosmi the Voyager,Rose,Solid,Espresso,Rosewood,Space Suit,Ivory,Laughing,Crown,Round Shades,Ocean,Dog Tags,c240c72603dcbfddf184856b57c2e204b0c648c76e9acec011d38697add03bdc,30.482555,7289
36,Zewynio the Captain,Olive,Solid,Plum,Silver,Varsity Jacket,Plum,Laughing,Snapback,Round Shades,Ocean,Silver Medallion,071015d3340e2ed4c015942c6b5a313c31477e49b77e349bcd4baee249541318,30.66077,6720
37,Vakaiel the Ronin,Crimson,Pixel Rain,Copper,Cocoa,Ronin Robe,Plum,Grin,Snapback,Round Shades,Ocean,Ear Ring,606381d9ac24627588145abc87f82e712eff0976221963130d7ba90d6aee920f,30.668166,6687
38,Katusar the Rider,Midnight,Steps,Obsidian,Rosewood,Leather Rider,Plum,Grin,Pilot Cap,Clear Frames,Ruby,Silver Medallion,5c0be948d6a3befeac82703c453ea5b10e3336eeb0c16a89618f4e19106d2a46,32.165132,4432
39,Nuluxze the Skater,Cobalt,Pixel Rain,Midnight,Rosewood,Street Hoodie,Burgundy,Gritted Teeth,Beanie,Classic Shades,Violet,Silver Medallion,7a7ccc5adac859ca7a686d1e01fbbd719e0bc5a4b28820eb2c2a104352ac09f2,32.046111,5701
40,Milinlo the Voyager,Slate,Halo,Copper,Cocoa,Space Suit,Navy,Grin,Pilot Cap,Bare Eyes,Ocean,Silk Scarf,a4e844b92ee5f4dc29624ba4b739dcbc8aaa8dbe879bcb013d75a7ad978d2581,29.164265,9028
41,Lovosha the Corsair,Olive,Solid,Copper,Sand,Captain Coat,Onyx,Smirk,Spiked Hair,Monocle,Amber,Dog Tags,52b68e69d97e61392c32a5eb59b24a0949d21465263d5e80540bc061833ba855,32.362678,1211
42,Kewynda the Maestro,Amethyst,Pixel Rain,Blue Steel,Rosewood,Velvet Tuxedo,Forest,Frown,Headphones,Eye Patch,Ocean,Dog Tags,1c7e9cf9a4d25ce83bd6c8f2dcb7edf094c02d777ed6d608bff9843613938513,29.262595,8250
43,Jukainy the Skater,Rose,Steps,Plum,Rosewood,Street Hoodie,Plum,Smirk,Snapback,Cyber Visor,Amber,None,9f1bbfc093138054625b4b03d5475ad3689fcbe57c9fac9ceb57d812a1ff000a,32.395917,852
44,Iotusva the Drifter,Crimson,Pixel Rain,Jade,Rosewood,Denim Jacket,Burgundy,Surprised,Snapback,Classic Shades,Violet,Silver Medallion,aa51b749aca26cf2393930c860a9394366da646ec375cda2c5925e009434e9b0,32.10348,5221
45,Hadorlo the Voyager,Midnight,Halo,Jade,Cocoa,Space Suit,Rust,Grin,Pilot Cap,Cyber Visor,Violet,Studs,691edeba175f203f85d32af701f4ca0548271bd3e72a69794d4520628a24f9fa,32.139621,4803
46,Gatorga the Rider,Emerald,Halo,Plum,Rosewood,Leather Rider,Navy,Grin,Bucket Hat,Cyber Visor,Ice,Pendant,edb391372bd289848f8c6dfc2ba889680e80532da749bf76100492be64a181cf,32.217811,3554
47,Fidincy the Captain,Rose,Steps,Obsidian,Sand,Varsity Jacket,Forest,Grin,Snapback,Bare Eyes,Ocean,Studs,50cfe3f202b2b99e43c80e9c16ac65948d46e5d60e6e4b7ee447e7dbe18c2a4e,29.156583,9084
48,Elzorlu the Skater,Slate,Halo,Jade,Caramel,Street Hoodie,Teal,Smirk,Snapback,Sport Shades,Violet,None,dab730d23baf05bf5bab3cb2dc088f53abb71a56c973b50285fa5e99be16762a,32.169912,4363
49,Damonka the Rider,Amethyst,Pixel Rain,Espresso,Cocoa,Leather Rider,Teal,Grin,Headband,Sport Shades,Ruby,Gold Medallion,70b76cc0f5116026eb7925f4887d2d0b10b29724ebaaa990afe3812156bbac3a,32.267218,2669
50,Cynixke the Drifter,Amethyst,Pixel Rain,Copper,Cocoa,Denim Jacket,Rust,Pout,Beanie,Classic Shades,Ice,Dog Tags,81c7849ee8381a397d5fe9264fa2e12a5db3a80a265af4a0e70c4832b56d7361,32.326731,1712
51,Rozenga the Maestro,Slate,Halo,Espresso,Cocoa,Velvet Tuxedo,Onyx,Laughing,Pilot Cap,Clear Frames,Mint,Pendant,a69ed707455a8737c36be813d8d7dcffadf0b48f50f14fcd9fa8850dbac6ce4a,32.030351,5807
52,Arroncy the Drifter,Midnight,Halo,Obsidian,Rosewood,Denim Jacket,Forest,Stoic,Beanie,Clear Frames,Mint,Silk Scarf,683910fea64d8e3ba5e6859811776ce9981a3ee352dfb9e1f22d411f0dfb88f2,31.924874,6140
53,Nysenor the Maestro,Crimson,Halo,Jade,Sand,Velvet Tuxedo,Onyx,Surprised,Headphones,Monocle,Ice,Studs,585782a53db9c44c2345ad112e421506def08dbfdafb9f15b7c59ff55ce2fdc5,32.365129,1192
54,Lufennu the Captain,Crimson,Pixel Rain,Ash,Cocoa,Varsity Jacket,Burgundy,Frown,Pilot Cap,Eye Patch,Ocean,Gold Medallion,dccbb98b4b4bd728bcf18c5311fb451e597c97717c500624d9ea1629c57849a0,29.213738,8643
55,Orrisju the Aviator,Slate,Steps,Midnight,Rosewood,Flight Bomber,Rust,Pout,Crown,Cyber Visor,Violet,Studs,87bfc5c8368de1892a6c3d9ed0c08a65d145d8530f1487cc78889a9dca1e2ebc,32.312882,1896
56,Zesolfi the Aviator,Amethyst,Halo,Espresso,Rosewood,Flight Bomber,Teal,Laughing,Headphones,Classic Shades,Ocean,Silver Medallion,d822ed59e20c6aabb54e9e4c1213ecbbf81a87c943eae8188d3f31086e281aef,30.462906,7326
57,Varynro the Ronin,Midnight,Solid,Espresso,Caramel,Ronin Robe,Burgundy,Grin,Bucket Hat,Clear Frames,Amber,Ear Ring,dae46f97c35e72d97a05608968d82a1ca88f1d343a519bf1c1b33b46f4a03cd1,32.200985,3860
58,Kavekor the Maestro,Crimson,Pixel Rain,Plum,Caramel,Velvet Tuxedo,Burgundy,Grin,Headband,Bare Eyes,Ocean,Studs,19468f7141bde63bdfed2ccd60f997dac55602f9fa8f0447dd0bc86c4e43bc71,29.247196,8374
59,Nusenmi the Rider,Cobalt,Steps,Blue Steel,Rosewood,Leather Rider,Rust,Grin,Headphones,Clear Frames,Ruby,Pendant,845df2d00dc9872a1cf1afeae7dec10c8d7367a3e8e7796206518761e9571b19,32.13355,4878
60,Mifenio the Regent,Crimson,Solid,Jade,Silver,Royal Mantle,Forest,Smirk,Headphones,Bare Eyes,Ocean,Gold Medallion,80cd607104cada2afa161038c0497398a49ea16cbf35d867a8ee2a9c41cf24b4,29.016615,9802
61,Lorisel the Aviator,Olive,Solid,Obsidian,Rosewood,Flight Bomber,Rust,Gritted Teeth,Spiked Hair,Round Shades,Amber,None,24a079a88030aa57bc6a1f2973a0a2378ff728ab8d019ff7ec8f38a5098fa1b7,32.250471,3001
62,Kesolar the Rider,Emerald,Steps,Midnight,Rosewood,Leather Rider,Forest,Smirk,Headband,Clear Frames,Violet,Dog Tags,b68243b16d667d33953bc8ff03fc54f14c7319f55cd07a076fa49c56cfbb1d15,32.107566,5187
63,Jurynze the Skater,Rose,Steps,Ash,Silver,Street Hoodie,Ivory,Stoic,Pilot Cap,Bare Eyes,Ocean,Studs,97e0c411aada2c85c0f0bcfff68d637420724de1b184e4dc1099ab68c5455169,29.2429,8396
64,Iovekmi the Skater,Olive,Halo,Copper,Caramel,Street Hoodie,Teal,Stoic,Spiked Hair,Sport Shades,Ocean,Gold Medallion,5fa03f18db57a346772f546d9587630f985a62f432244f749206cb42b218375f,30.563107,7077
65,Harakha the Skater,Emerald,Pixel Rain,Ash,Cocoa,Street Hoodie,Forest,Gritted Teeth,Crown,Eye Patch,Ocean,Silk Scarf,723fc88a3722b0872bbf653770dbb7a92795a059bdc80befb5372e150fa9060e,29.109364,9388
66,Gabelda the Corsair,Amethyst,Halo,Obsidian,Caramel,Captain Coat,Ivory,Laughing,Spiked Hair,Classic Shades,Violet,Silver Medallion,e3361dc13e7c5ef4a3a47d62a4d40e05e383b96f6f644d85cfe89145e2d6f67f,32.14261,4771
67,Fitalny the Corsair,Cobalt,Steps,Espresso,Silver,Captain Coat,Rust,Stoic,Spiked Hair,Bare Eyes,Ocean,Studs,ccadaedbf010cdded5ef1812a928e9df306865e74c2d0bbc4fcb0af2dbaecb4c,29.171982,8964
68,Elvexva the Drifter,Olive,Solid,Obsidian,Sand,Denim Jacket,Burgundy,Laughing,Headphones,Eye Patch,Ocean,Silk Scarf,be6d79d95f51142fb73e3b6977b69ed4e58aaa933aaf61a28b40417e081b663f,29.135211,9239
69,Damarlo the Ranger,Lagoon,Steps,Blue Steel,Cocoa,Tactical Vest,Burgundy,Grin,Bucket Hat,Sport Shades,Ocean,Ear Ring,966a68125a06ee68d9ab6d299057c56e9e9f127ec21caa2ba4b29e0278353913,30.756785,6415
70,Cyluxha the Drifter,Emerald,Steps,Obsidian,Rosewood,Denim Jacket,Forest,Laughing,Snapback,Classic Shades,Amber,Studs,2635c918a6d0e95ffb6ca53ecb862c68c8d4849d06ac15774d0c6c1475221157,31.904364,6166
71,Rolincy the Corsair,Slate,Pixel Rain,Plum,Silver,Captain Coat,Burgundy,Surprised,Pilot Cap,Cyber Visor,Mint,Dog Tags,9b2c0b061d434e7eb9b6e08bc97956fca03103b3d6bf8d4f35d4d55c033478bb,32.478873,246
72,Arvoslu the Aviator,Slate,Halo,Ash,Caramel,Flight Bomber,Rust,Gritted Teeth,Spiked Hair,Classic Shades,Mint,Pendant,ba76aa5de5d8df172f51477d5a30d3cd7ffc898a06de4c3254dd012fb64f4c91,32.150826,4652
73,Nywynka the Broker,Lagoon,Halo,Espresso,Sand,Executive Suit,Ivory,Surprised,Pilot Cap,Classic Shades,Ice,Studs,06240db7094c7d2ae25678e5f26567e69e0b2b7092bdf891c4445bfaaf4b5379,32.465894,321
74,Lukaike the Broker,Rose,Halo,Copper,Cocoa,Executive Suit,Ivory,Smirk,Beanie,Cyber Visor,Violet,Silver Medallion,5c5a6f58ca172a4bfccf80ed725ae017b3e856924f3f4fd16d2e08d49675310f,32.205267,3782
75,Ortusga the Voyager,Slate,Steps,Ash,Caramel,Space Suit,Plum,Stoic,Spiked Hair,Cyber Visor,Ocean,Gold Medallion,768d624c5d4c1196e6f282027df0bc4e11a3719f93b76d23692e1bbef66b4765,30.585959,6999
76,Zedorcy the Captain,Emerald,Halo,Copper,Silver,Varsity Jacket,Teal,Laughing,Headphones,Eye Patch,Ocean,Silver Medallion,af3f7ee19dfcbbf21ed4dee976a0f4ae2d5e5a9fc344051d17b5958e72a11239,29.04731,9695
77,Vatoror the Corsair,Midnight,Steps,Jade,Cocoa,Captain Coat,Navy,Gritted Teeth,Crown,Clear Frames,Ocean,Silk Scarf,d75d58224902598cf0c677acafa05615cbaed7a12c60681de23ff684a108a47b,30.638536,6798
78,Kadinnu the Broker,Emerald,Solid,Copper,Sand,Executive Suit,Forest,Stoic,Crown,Round Shades,Ice,Gold Medallion,ae38d185ff5d748e7b30fc820d3fd43d5f2a82c1c7055994cfbeebca84807960,32.191603,4015
79,Nuwynju the Broker,Amethyst,Pixel Rain,Plum,Caramel,Executive Suit,Onyx,Pout,Spiked Hair,Bare Eyes,Ocean,Gold Medallion,34901a6745ff3ea7f9f7cdfbb0fe870a22c852ca78b0b00f25bb02c57361b0fc,29.306016,7945
80,Mikaifi the Rider,Lagoon,Pixel Rain,Espresso,Silver,Leather Rider,Forest,Surprised,Spiked Hair,Eye Patch,Ocean,Silver Medallion,db873fd07acb142751c859616825286492200acc5751eaaf225ea69cc2814c1d,29.195748,8779
81,Lotusro the Corsair,Olive,Pixel Rain,Ash,Cocoa,Captain Coat,Navy,Laughing,Headphones,Classic Shades,Violet,Ear Ring,8f0cf73c0de5be7379040ca0eeb83c433e5fd156325780a7f6bc0e46e62b1c9e,32.248688,3034
82,Kedoror the Rider,Slate,Solid,Jade,Rosewood,Leather Rider,Navy,Smirk,Beanie,Bare Eyes,Ocean,Dog Tags,e99bfd3b8cceae0f021372567c095427abb4a0a35cc6a4c2c951e99963161abe,29.113917,9356
83,Jutormi the Broker,Lagoon,Pixel Rain,Midnight,Sand,Executive Suit,Forest,Stoic,Beanie,Eye Patch,Ocean,Studs,8b8edacae5f11112f7279017c3064461de55727916bd41bb0f08428ed3cb48f3,29.192652,8801
84,Iodinio the Rider,Cobalt,Halo,Espresso,Rosewood,Leather Rider,Forest,Stoic,Pilot Cap,Classic Shades,Amber,None,e457466990aa5a699071a6e562a093756d57879ca64dc36e8fa927e07479d711,32.082861,5416
85,Hazorel the Ronin,Rose,Solid,Midnight,Rosewood,Ronin Robe,Teal,Pout,Headphones,Sport Shades,Violet,Studs,e5763346ca8669e71230144342811cbd612a924f237ababc221767f40f4aca83,32.257134,2865
86,Gamonar the Ronin,Rose,Solid,Midnight,Rosewood,Ronin Robe,Plum,Frown,Headband,Monocle,Ocean,Silk Scarf,ff3ee9f68ec9540c1912c92552512f6d2309c24d5c74b80613c369821ca1ce6f,30.911071,6214
87,Finixze the Drifter,Cobalt,Solid,Obsidian,Sand,Denim Jacket,Ivory,Gritted Teeth,Spiked Hair,Classic Shades,Ice,Silk Scarf,293faae44ed9b6d4fc0c8d1c38915c94290b439e0335758152c1ca2478c63f03,32.234625,3271
88,Elzenmi the Regent,Amethyst,Steps,Obsidian,Sand,Royal Mantle,Forest,Stoic,Spiked Hair,Sport Shades,Ice,Studs,21785bd1383fba4e3800d0006a0816325fc33ec6ec3030b6ffaf7f51466be388,32.236186,3246
89,Daronio the Aviator,Amethyst,Solid,Midnight,Sand,Flight Bomber,Burgundy,Frown,Crown,Round Shades,Amber,Pendant,da4e2864b71acf67b6dc755df2e41a5588fc21e1578f11bb54a6dd1bb9ca5c80,32.358043,1261
90,Cysenda the Corsair,Emerald,Pixel Rain,Obsidian,Rosewood,Captain Coat,Teal,Pout,Headband,Bare Eyes,Ocean,Dog Tags,1a2ca33523a59cd78b94dc7e55acba0209a0b798d369113f541644b9d4297d7e,29.215508,8624
91,Rofenny the Drifter,Cobalt,Halo,Jade,Silver,Denim Jacket,Onyx,Pout,Pilot Cap,Classic Shades,Mint,Silk Scarf,d07b687d63c3dacd8abfb3b5a6d7a9b491a97b1a96f038a11796090a67c6c440,32.170051,4361
92,Arrisva the Corsair,Midnight,Steps,Plum,Cocoa,Captain Coat,Rust,Gritted Teeth,Headphones,Bare Eyes,Ocean,Pendant,65373aa23dc30754c0b02a732ab76e864494d3561ebaf27a33cb3857846ef8a0,29.110326,9384
93,Nysollo the Broker,Emerald,Solid,Copper,Sand,Executive Suit,Onyx,Smirk,Crown,Sport Shades,Violet,Pendant,dc952a33b03d78bfd6a2ffa4a9444d77f067bbb3e4d4cf7d3f5590de9a671352,32.136195,4845
94,Lurynha the Skater,Midnight,Solid,Copper,Caramel,Street Hoodie,Teal,Stoic,Snapback,Sport Shades,Violet,Silver Medallion,b56d7bdfa7033bd465b05fa243f7eb93cd8eb6ed8d83b32d5078c0bd1795a255,32.039329,5749
95,Orvekda the Captain,Crimson,Steps,Midnight,Rosewood,Varsity Jacket,Rust,Grin,Pilot Cap,Classic Shades,Ice,None,69e7ae04886a4386cd50042e6110f94995af9db55e48e3d4d28b59d3c95ba0fa,32.237089,3227
96,Zeraklu the Voyager,Lagoon,Steps,Ash,Sand,Space Suit,Navy,Smirk,Pilot Cap,Monocle,Ocean,Dog Tags,3f6e2c82977df3b4eb3dc2ada7704a2de31ef2c5fc63a5f856a4553f549f1d29,30.583174,7009
97,Vabelka the Aviator,Olive,Solid,Midnight,Rosewood,Flight Bomber,Navy,Grin,Beanie,Monocle,Ruby,Silk Scarf,a391914124b23adc5bbd41315d97a6e02862b8f75fbf11efbbbba8fc26e7400c,32.157168,4564
98,Katalke the Broker,Midnight,Steps,Plum,Cocoa,Executive Suit,Teal,Surprised,Bucket Hat,Eye Patch,Ocean,Gold Medallion,49361a09860e2c792de81f5aab77b7ca8f16eb3ccc87adf157174b417852debb,29.205554,8708
99,Nusolga the Skater,Emerald,Pixel Rain,Plum,Sand,Street Hoodie,Forest,Surprised,Headband,Eye Patch,Ocean,Pendant,23e47a92cb0f3703742b0cab1c3816289ec5e23d1eed0cf4df585c8e6cb15603,29.153325,9105
100,Miryncy the Voyager,Slate,Steps,Espresso,Sand,Space Suit,Teal,Pout,Headphones,Sport Shades,Violet,Studs,e4a3b02baa138c51a8faf289995a8b316c63cd697f8000b55bdb33d9868af953,32.032227,5797
101,Loveklu the Broker,Amethyst,Solid,Midnight,Silver,Executive Suit,Teal,Grin,Beanie,Monocle,Mint,None,34772a600773f8503df85d57cfd98416001f9561524af0a8db89b639bf852f80,32.200659,3864
102,Keraknu the Aviator,Crimson,Solid,Midnight,Cocoa,Flight Bomber,Teal,Laughing,Spiked Hair,Round Shades,Ocean,Silk Scarf,10652c773eed5b4afdfb28001a49bbb292d6bd6492650cc587de9312300d1549,30.505752,7239
103,Jubelju the Captain,Amethyst,Pixel Rain,Blue Steel,Cocoa,Varsity Jacket,Plum,Pout,Pilot Cap,Cyber Visor,Ice,None,fbdf85958b4f960d986ae80c0558803fae8ffc3469ff36e47a11ea8cc834a16e,32.642227,8
104,Iotalfi the Ranger,Amber,Halo,Plum,Cocoa,Tactical Vest,Ivory,Grin,Headband,Monocle,Ruby,Silk Scarf,f0961b472cd48bacee78059205c8b490b8fa251845aaffab569b7f24e4649736,32.411663,692
105,Havexro the Corsair,Rose,Steps,Ash,Sand,Captain Coat,Navy,Surprised,Pilot Cap,Monocle,Ocean,Pendant,b13e0e0efe92ecf27f168ca36e723677211d6944a719bc58f1b42381bd94c853,30.685172,6628
106,Gamaror the Broker,Crimson,Solid,Midnight,Silver,Executive Suit,Plum,Grin,Crown,Sport Shades,Amber,Silver Medallion,31cf1cfd0b0c3ac32e2579522cf9c852e78b184c3a2d8b7074cf68994aa3be99,32.33066,1664
107,Filuxnu the Captain,Rose,Steps,Espresso,Rosewood,Varsity Jacket,Onyx,Stoic,Snapback,Cyber Visor,Amber,Silver Medallion,c1b51811f898077ecfd932d9afcb0941f66e5b6658385e0fe0da133aebe056d5,32.192593,4002
108,Ellinio the Ronin,Emerald,Solid,Midnight,Caramel,Ronin Robe,Teal,Pout,Pilot Cap,Sport Shades,Ruby,Silk Scarf,5808ed26fa7b79723eabc2aca35e441f623eddc9c96f1e8af11d622b3417c59c,32.160848,4506
109,Davosel the Ranger,Lagoon,Steps,Blue Steel,Sand,Tactical Vest,Navy,Frown,Pilot Cap,Monocle,Ice,Pendant,8bfe673263b3e705127806b4617e6a098933a2ab0bead27960c7829cf09276e1,32.393166,884
110,Cywynar the Broker,Olive,Halo,Plum,Silver,Executive Suit,Ivory,Smirk,Headband,Round Shades,Violet,Silver Medallion,9ad9e0143684407e1c2110f8b8a01579d4c4ba4c4ecab1a3c3107c2ce9d6cda9,32.309513,1942
111,Rokaize the Drifter,Amber,Steps,Ash,Sand,Denim Jacket,Burgundy,Grin,Beanie,Eye Patch,Ocean,Ear Ring,a753d9729778581a7eacb1b8705f02712f2cb2c46999b8e6c4b3e69eec5bffc9,29.092596,9463
